epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.003476795,0.067473195,-0.0025742974,0.062139664,10.0,-4.346055,0.5,50.0,0.0
1,-0.0034799397,0.067477226,-0.002550191,0.062136978,20.0,-4.221631,0.4,100.0,0.0
2,-0.0033777843,0.067447156,-0.002461727,0.062105104,30.0,-4.181003,0.7,150.0,0.04
3,-0.0036081776,0.0674465,-0.0026724683,0.06211579,40.0,-4.5466805,0.8,200.0,0.02
4,-0.0036030698,0.06743896,-0.0026634268,0.062101725,50.0,-3.7151406,0.8,250.0,0.02
5,-0.003526118,0.06750963,-0.0025622863,0.06216001,60.0,-4.1980543,0.7,300.0,0.04
6,-0.0036120198,0.06751126,-0.0026563397,0.062186044,70.0,-4.727351,0.6,350.0,0.0
7,-0.003679102,0.06751046,-0.0027406772,0.062185507,80.0,-3.7928452,0.8,400.0,0.02
8,-0.0036924062,0.06750735,-0.002756658,0.062154576,90.0,-4.632226,0.8,450.0,0.04
9,-0.003762861,0.067476526,-0.002820153,0.062114786,100.0,-4.3595166,1.0,500.0,0.02
