# {"t_start": 1551376958.0024474, "env_id": "parking-v1"} 
r,l,t
-19.596853,20,2066.225641
-11.396999,20,2094.482338
-18.907244,20,2125.238466
-22.959151,20,2147.956699
-17.012837,20,2180.814543
-14.109944,20,2209.92053
-19.823535,20,2232.918424
-17.732855,20,2257.533053
-12.721427,20,2286.344604
-16.668752,20,2310.125734
-5.344271,20,2336.561075
-13.017043,20,2365.809036
-10.322693,20,2395.303068
-15.573317,20,2425.017832
-12.947376,20,2450.183585
-13.131113,20,2487.786516
-7.951792,20,2518.805922
-12.574215,20,2544.019459
-12.165954,20,2568.877555
-10.453046,20,2599.679552
-11.993532,20,2625.894174
-13.329987,20,2659.214706
-10.509384,20,2694.630735
-15.358679,20,2725.215259
-24.986914,20,2753.708451
-5.433746,20,2792.861705
-11.045263,20,2816.597298
-10.429482,20,2849.236925
-8.948438,20,2871.5383
-13.298496,20,2899.029307
-14.595552,20,2929.047604
-5.473933,20,2957.870289
-23.893412,20,2995.735179
-21.567351,20,3018.17222
-20.372538,20,3047.20044
-12.213914,20,3079.451379
-20.45162,20,3110.146193
-17.715057,20,3143.565839
-21.837597,20,3165.638912
-6.798896,20,3186.296075
-16.955022,20,3208.702263
-24.532203,20,3233.063342
-10.446542,20,3255.337315
-20.754554,20,3286.115945
-12.586521,20,3312.296511
-10.685262,20,3344.769748
-28.193524,20,3372.439551
-13.489563,20,3399.328027
-6.33899,20,3426.446097
-9.48033,20,3458.219017
-13.039394,20,3487.387684
-8.256987,20,3512.944668
-14.464359,20,3542.950555
-17.436116,20,3577.564943
-15.26011,20,3601.006798
-25.529515,20,3632.47497
-15.328166,20,3659.686741
-9.99035,20,3685.121558
-23.831623,20,3708.099038
-24.597287,20,3729.750082
-7.556812,20,3754.071852
-10.634664,20,3785.957505
-14.883599,20,3811.678752
-26.000192,20,3834.896685
-25.68614,20,3858.006943
-25.679559,20,3880.211744
-9.243115,20,3903.153224
-11.852856,20,3925.153381
-8.912725,20,3951.334557
-11.475636,20,3976.357256
-15.327915,20,4011.282022
-11.741088,20,4039.844291
-14.774533,20,4065.712446
-10.570954,20,4098.547482
-7.901442,20,4128.740451
-8.210981,20,4154.191279
-10.626448,20,4180.414287
-15.676236,20,4206.029197
-9.084594,20,4227.024179
-11.678891,20,4252.221181
-27.743649,20,4284.74524
-12.046558,20,4310.197581
-22.039533,20,4333.954058
-8.800873,20,4360.052296
-22.211856,20,4389.954736
-12.811766,20,4411.223752
-12.170534,20,4439.016693
-13.442425,20,4465.401135
-17.102528,20,4495.446969
-8.631972,20,4524.421272
-10.530326,20,4546.329938
-12.43355,20,4570.374147
-25.483622,20,4592.418274
-8.382961,20,4615.10135
-15.183515,20,4642.908013
-23.335664,20,4669.720321
-15.381839,20,4696.32391
-15.919458,20,4725.400347
-7.052663,20,4750.670236
-21.994925,20,4774.99864
-5.1079,20,4806.097655
-6.744495,20,4846.490466
-5.218832,20,4870.347484
-10.086219,20,4915.708056
-12.578546,20,4938.632913
-10.707989,20,4961.889123
-14.465208,20,4994.326388
-6.661177,20,5023.654954
-4.984781,20,5064.508132
-19.317612,20,5097.590261
-17.369667,20,5126.758238
-18.373419,20,5154.052085
-18.957787,20,5183.132035
-12.315611,20,5208.734409
-5.66355,20,5243.254776
-12.920796,20,5268.945853
-27.367231,20,5300.084033
-7.895733,20,5330.135617
-12.071639,20,5360.155863
-14.479325,20,5386.842738
-8.176477,20,5427.760546
-16.242159,20,5459.151168
-10.060674,20,5494.917098
-12.291067,20,5530.592206
-17.15778,20,5554.912954
-8.797594,20,5584.672433
-16.041688,20,5611.544939
-8.099359,20,5651.797027
-15.323062,20,5680.287757
-9.492976,20,5701.934073
-13.811542,20,5735.003848
-16.814065,20,5763.510523
-12.44943,20,5787.346427
-19.123952,20,5808.204824
-16.210012,20,5834.634744
-11.099211,20,5860.025193
-11.988922,20,5885.568272
-11.25212,20,5911.724257
-13.138341,20,5940.779833
-10.876226,20,5963.071232
