# {"t_start": 1551376958.0024474, "env_id": "parking-v1"} 
r,l,t
-25.869943,20,24.953632
-14.03625,20,49.303707
-11.552772,20,88.110686
-16.091759,20,118.138946
-22.202713,20,145.061041
-15.006868,20,165.290792
-13.750842,20,187.66665
-9.650962,20,223.524996
-3.689408,20,247.575544
-11.009725,20,269.899435
-11.314416,20,302.990602
-21.393894,20,341.044691
-9.491277,20,383.589783
-12.443323,20,407.616835
-16.442139,20,438.960851
-9.799919,20,465.488639
-5.652952,20,491.566182
-10.072658,20,517.347206
-27.259114,20,546.660445
-15.606265,20,588.898264
-20.714643,20,611.707973
-14.967989,20,636.809729
-12.710062,20,672.380005
-10.31107,20,705.234942
-16.731455,20,737.557502
-13.832877,20,765.924726
-23.729298,20,802.651234
-16.683428,20,835.550087
-10.19106,20,867.041371
-10.986441,20,888.491498
-9.540757,20,909.879955
-8.352804,20,936.291015
-10.55008,20,968.865612
-11.898591,20,998.972216
-14.979522,20,1025.510562
-23.593826,20,1057.201787
-8.614234,20,1081.603073
-11.145641,20,1103.12462
-9.713213,20,1127.030573
-9.546263,20,1152.924159
-18.390512,20,1183.459579
-9.263564,20,1208.769528
-8.516177,20,1233.788827
-15.969952,20,1279.392956
-23.143116,20,1309.062034
-13.751763,20,1334.304301
-11.909073,20,1361.790117
-12.656952,20,1391.9206
-24.050972,20,1412.542238
-10.429251,20,1433.932853
-6.352867,20,1455.271798
-15.893138,20,1488.133212
-23.119804,20,1514.046359
-12.14144,20,1544.663674
-25.617261,20,1566.036899
-8.241534,20,1588.654709
-8.379595,20,1611.809346
-12.848732,20,1635.613028
-26.563075,20,1667.219872
-9.735535,20,1699.186213
-5.156505,20,1721.724409
-10.045984,20,1743.0681
-5.956883,20,1767.05283
-22.565234,20,1790.281781
-14.270066,20,1812.28036
-16.357638,20,1835.468904
-6.627918,20,1866.620414
-13.547392,20,1899.471523
-9.225432,20,1925.810898
-15.595102,20,1950.635314
-8.557353,20,1973.777803
-16.019219,20,1999.2768
-26.307457,20,2038.461452
