epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.0023575334,0.057671268,-0.0012237361,0.050869297,10.0,-10.102485,0.0,50.0,0.0
1,-0.0028719741,0.05898915,-0.0015493758,0.051622752,20.0,-10.034019,0.0,100.0,0.0
2,-0.0034252312,0.060299307,-0.001893211,0.052414656,30.0,-11.971201,0.0,150.0,0.0
3,-0.003960673,0.061529595,-0.0022348252,0.053139735,40.0,-14.511699,0.0,200.0,0.0
4,-0.004492911,0.062692314,-0.0025848397,0.0538889,50.0,-15.771945,0.0,250.0,0.0
5,-0.0050097024,0.06372077,-0.0029141465,0.054529835,60.0,-17.752783,0.0,300.0,0.0
6,-0.0055300896,0.064696066,-0.0032381595,0.055108476,70.0,-19.68015,0.0,350.0,0.0
7,-0.0060671517,0.065672986,-0.00357832,0.055703837,80.0,-19.526087,0.0,400.0,0.0
8,-0.006568368,0.06655425,-0.0039089974,0.05628535,90.0,-19.955408,0.0,450.0,0.0
9,-0.0070781875,0.067396566,-0.004227052,0.056819227,100.0,-19.960304,0.0,500.0,0.0
10,-0.007596998,0.06825098,-0.0045400294,0.057337422,110.0,-19.946415,0.0,550.0,0.0
11,-0.008097638,0.069030836,-0.0048679304,0.057860482,120.0,-19.970722,0.0,600.0,0.0
12,-0.008583762,0.0697871,-0.005173217,0.05834912,130.0,-19.964863,0.0,650.0,0.0
13,-0.009062905,0.07048584,-0.005469514,0.058799755,140.0,-20.004734,0.0,700.0,0.0
14,-0.009560417,0.071215846,-0.0057910164,0.059297573,150.0,-19.985939,0.0,750.0,0.0
15,-0.010041144,0.07186965,-0.006104234,0.059747238,160.0,-20.00995,0.0,800.0,0.0
16,-0.010501985,0.07246698,-0.006397353,0.060150817,170.0,-20.001768,0.0,850.0,0.0
17,-0.010967051,0.07308737,-0.006697289,0.060558397,180.0,-19.970692,0.0,900.0,0.0
18,-0.011437011,0.07369724,-0.006987905,0.06094478,190.0,-20.029661,0.0,950.0,0.0
19,-0.0118828,0.07422996,-0.007258315,0.061287478,200.0,-19.995993,0.0,1000.0,0.0
