epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.0038774617,0.066023454,-0.002915859,0.06051877,10.0,-7.259085,0.1,50.0,0.0
1,-0.0038424414,0.065847084,-0.002859818,0.060328204,20.0,-5.8844533,0.2,100.0,0.0
2,-0.0038440975,0.065729,-0.0028205824,0.06016885,30.0,-6.576417,0.0,150.0,0.0
3,-0.0037286936,0.06557596,-0.0027351081,0.06000112,40.0,-6.2040854,0.0,200.0,0.0
4,-0.0036878781,0.06542501,-0.0026901755,0.05983391,50.0,-5.5765333,0.1,250.0,0.0
5,-0.003731344,0.065348506,-0.002734294,0.059743557,60.0,-6.8026795,0.1,300.0,0.0
6,-0.0037372161,0.06517732,-0.0027560126,0.059578314,70.0,-6.336591,0.1,350.0,0.0
7,-0.0038085005,0.06504568,-0.0028206322,0.059427682,80.0,-6.1969614,0.0,400.0,0.0
8,-0.003767662,0.06498318,-0.0028126696,0.05931841,90.0,-5.934205,0.0,450.0,0.0
9,-0.0037178842,0.06484223,-0.0027825285,0.05918659,100.0,-6.2010393,0.0,500.0,0.0
10,-0.0037118483,0.064744584,-0.0027814128,0.059088543,110.0,-5.994029,0.0,550.0,0.0
11,-0.0035659627,0.0646881,-0.0026797124,0.058991563,120.0,-6.3005004,0.0,600.0,0.0
12,-0.003478713,0.06460307,-0.0026072888,0.058904458,130.0,-5.449153,0.0,650.0,0.0
13,-0.0034520673,0.06449907,-0.0025987427,0.0587879,140.0,-5.223481,0.2,700.0,0.0
14,-0.0033889709,0.06436593,-0.0025480774,0.058656078,150.0,-5.1126566,0.1,750.0,0.02
15,-0.003362268,0.06429186,-0.002533572,0.058545377,160.0,-5.5880337,0.1,800.0,0.0
16,-0.003325072,0.06420158,-0.0025082699,0.058446035,170.0,-6.1063795,0.5,850.0,0.0
17,-0.0033292973,0.06409841,-0.0024964178,0.05834751,180.0,-5.2412796,0.2,900.0,0.0
18,-0.0033313616,0.06399519,-0.0024912043,0.058242276,190.0,-6.1868844,0.0,950.0,0.0
19,-0.003436275,0.063860424,-0.0025641907,0.058110405,200.0,-6.136663,0.1,1000.0,0.0
