epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.005286136,0.07043197,-0.0036712408,0.06366635,10.0,-15.917196,0.0,50.0,0.0
1,-0.0070211175,0.073063314,-0.0047472506,0.06511111,20.0,-17.77529,0.0,100.0,0.0
2,-0.008711004,0.07540112,-0.005810078,0.066488154,30.0,-19.170649,0.0,150.0,0.0
3,-0.010433651,0.07754818,-0.0069299303,0.06780352,40.0,-19.828278,0.0,200.0,0.0
4,-0.01202502,0.07939623,-0.007950132,0.06888372,50.0,-19.825306,0.0,250.0,0.0
5,-0.013537162,0.08094484,-0.00891447,0.069786035,60.0,-20.01438,0.0,300.0,0.0
6,-0.015088976,0.082510464,-0.0098629445,0.07066166,70.0,-19.983368,0.0,350.0,0.0
7,-0.016552709,0.08381852,-0.010712393,0.07133167,80.0,-20.01177,0.0,400.0,0.0
8,-0.017876443,0.08487778,-0.011517923,0.07194472,90.0,-19.97011,0.0,450.0,0.0
9,-0.019209372,0.085922785,-0.012398182,0.072651915,100.0,-19.997986,0.0,500.0,0.0
10,-0.02052017,0.08683363,-0.013182889,0.073212594,110.0,-19.972137,0.0,550.0,0.0
11,-0.0217804,0.08773511,-0.014026136,0.07383825,120.0,-20.004572,0.0,600.0,0.0
12,-0.022996714,0.08854095,-0.014816917,0.07438099,130.0,-20.033554,0.0,650.0,0.0
13,-0.024116889,0.089256085,-0.015590032,0.074896,140.0,-19.978317,0.0,700.0,0.0
14,-0.02529676,0.08993721,-0.016301539,0.07531556,150.0,-19.954962,0.0,750.0,0.0
15,-0.02637866,0.090562366,-0.017042542,0.07575133,160.0,-20.03243,0.0,800.0,0.0
16,-0.027453108,0.09111565,-0.017704248,0.07611229,170.0,-19.943945,0.0,850.0,0.0
17,-0.028492242,0.09170231,-0.01835167,0.07645134,180.0,-20.00113,0.0,900.0,0.0
18,-0.02944568,0.092152804,-0.018922377,0.07674032,190.0,-20.00322,0.0,950.0,0.0
19,-0.030487671,0.09263936,-0.019568669,0.07707174,200.0,-20.02797,0.0,1000.0,0.0
