# {"t_start": 1551429346.285287, "env_id": "parking-v1"} 
r,l,t
-28.620831,20,2363.448038
-28.794569,20,2387.813708
-29.412189,20,2409.777782
-28.519149,20,2432.685547
-30.475582,20,2457.030569
-27.848893,20,2480.285117
-26.422585,20,2501.85501
-26.682564,20,2523.918296
-26.693108,20,2547.464972
-29.218239,20,2570.754338
-29.969386,20,2594.950208
-29.102484,20,2618.350925
-27.752538,20,2640.191767
-29.376462,20,2663.974934
-27.541376,20,2686.074058
-28.312386,20,2710.207857
-26.973002,20,2737.0567
-30.184055,20,2763.236293
-28.113964,20,2791.795824
-28.938354,20,2817.245013
-28.408487,20,2844.954013
-26.001539,20,2872.941239
-28.750928,20,2898.152282
-29.975539,20,2923.602499
-29.292805,20,2948.413363
-28.064352,20,2975.744659
-29.114685,20,2999.279367
-27.068558,20,3024.311677
-27.382975,20,3050.357316
-26.841876,20,3076.496636
-28.136405,20,3100.457831
-28.132083,20,3125.532842
-26.781276,20,3150.775969
-28.04382,20,3180.3678
-29.570539,20,3203.268616
-26.374027,20,3228.509868
-29.73682,20,3257.544641
-29.164314,20,3284.132538
-28.192876,20,3306.499156
-27.780371,20,3331.814245
-29.300831,20,3359.566644
-26.42472,20,3384.331187
-25.874446,20,3413.244741
-26.152504,20,3439.477823
-29.822507,20,3462.65789
-25.134844,20,3486.253549
-27.302069,20,3514.087296
-25.864406,20,3542.027182
-26.664398,20,3571.951229
-28.018735,20,3601.830142
-27.969323,20,3629.768746
-27.182926,20,3653.286238
-28.18987,20,3678.915959
-27.511465,20,3707.816893
-27.681738,20,3733.54823
-25.98744,20,3762.657423
-30.015264,20,3789.85368
-28.115033,20,3815.986322
-29.304281,20,3841.405796
-27.134125,20,3866.011707
-27.942497,20,3898.787873
-28.642773,20,3924.135131
-27.396872,20,3951.439704
-25.35988,20,3980.338308
-26.82598,20,4011.270367
-28.286799,20,4035.646511
-29.529607,20,4059.129594
-28.085459,20,4082.668845
-27.058597,20,4107.686613
-28.723681,20,4128.40116
-28.541805,20,4153.398433
-27.46718,20,4177.690857
-29.317796,20,4203.277209
-28.112161,20,4226.475416
-28.184989,20,4250.745587
-26.360582,20,4276.972097
-27.711667,20,4303.440377
-27.016642,20,4324.543487
-28.485837,20,4353.401628
-28.793097,20,4379.513043
-25.831665,20,4406.354069
-28.582036,20,4429.269457
-27.905403,20,4454.13304
-27.305356,20,4485.424216
-28.402584,20,4512.904773
-27.681245,20,4546.197737
-26.203965,20,4571.888723
-29.414445,20,4599.471973
-25.219942,20,4622.482136
-27.014425,20,4646.748654
-27.227291,20,4673.328622
-28.302616,20,4697.41042
-29.238479,20,4726.346256
-28.540923,20,4752.001307
-28.12867,20,4780.892636
-28.237748,20,4803.583586
-27.618392,20,4834.937082
-27.137255,20,4858.765372
-25.37009,20,4884.753367
-28.88977,20,4909.452646
-30.071149,20,4938.26911
-28.851669,20,4962.858554
-26.311782,20,4986.15812
-28.134465,20,5010.712748
-28.914422,20,5031.953571
-25.565288,20,5056.051648
-26.505221,20,5082.756833
-27.348751,20,5105.336495
-25.892672,20,5133.115646
-26.587145,20,5158.8492
-26.402255,20,5190.279948
-28.651349,20,5218.089894
-26.039338,20,5240.765666
-31.207813,20,5263.049083
-25.307047,20,5287.787812
-27.590427,20,5315.152943
-28.700331,20,5338.773158
-25.677794,20,5361.673272
-27.498595,20,5384.001328
-25.884843,20,5410.486917
-27.681141,20,5439.795648
-28.530826,20,5470.374044
-29.675953,20,5495.03767
-24.687398,20,5523.010051
-28.825514,20,5551.325142
-27.176967,20,5576.256915
-28.586298,20,5601.631695
-28.279453,20,5625.621562
-28.682474,20,5648.249166
-28.87655,20,5673.995746
-27.847105,20,5699.868944
-27.628488,20,5727.07768
-26.881161,20,5753.994607
-29.817956,20,5777.268624
-26.23787,20,5802.125844
-27.650413,20,5829.771845
-27.421044,20,5857.099348
-27.467845,20,5885.275618
-25.259553,20,5909.818515
-27.952296,20,5932.52588
-30.365888,20,5958.822454
-28.511096,20,5984.637119
-23.684733,20,6013.832942
-27.836233,20,6046.241996
-28.471075,20,6067.973359
-27.189716,20,6094.302736
-28.950545,20,6118.234111
-27.614502,20,6146.654124
-29.950897,20,6170.019255
-28.051239,20,6193.868462
-28.083486,20,6215.715801
-26.46583,20,6239.232257
-29.544138,20,6269.391492
-26.082769,20,6293.759868
-27.806664,20,6320.113119
-26.11747,20,6345.741695
-26.561614,20,6369.038699
-27.167081,20,6394.451312
-29.279498,20,6421.560728
-28.721023,20,6447.211899
-27.195596,20,6472.38526
-28.043342,20,6496.83518
-25.509502,20,6524.765183
-26.703728,20,6548.90765
-28.766378,20,6576.56867
-27.945886,20,6600.771835
-27.712949,20,6624.761713
-29.508226,20,6650.032054
-28.334201,20,6674.980315
-26.033899,20,6703.330345
-29.796679,20,6728.968275
-28.182363,20,6756.503948
-29.446302,20,6783.769697
-28.30132,20,6806.903419
-25.890881,20,6835.163247
-24.976302,20,6861.536522
-27.357793,20,6887.579165
-26.292599,20,6913.430913
-25.796503,20,6941.065769
-27.606567,20,6967.069087
-25.568432,20,6994.292546
-28.989137,20,7019.412906
-27.282243,20,7042.376554
-26.203184,20,7068.025326
-29.084234,20,7091.798242
-26.729012,20,7119.914497
-27.83581,20,7152.433617
-28.200454,20,7180.506505
-29.244982,20,7206.632028
-26.870028,20,7231.163467
-27.94174,20,7257.318917
-28.354122,20,7282.291874
-29.224091,20,7309.600733
-27.999305,20,7337.310807
-28.344921,20,7365.070136
-25.96267,20,7391.389138
-27.075642,20,7415.151725
-28.795666,20,7440.767228
-27.319449,20,7465.810342
-29.801948,20,7491.009186
-29.937323,20,7517.660534
-27.508333,20,7544.017733
-26.572956,20,7567.142549
-30.194907,20,7593.532187
-27.893078,20,7621.286157
-26.358611,20,7646.905464
-29.315038,20,7672.142232
-29.369845,20,7695.508113
-27.39423,20,7724.012259
-28.725284,20,7745.7112
-27.461479,20,7772.439679
-27.486037,20,7796.593192
-28.502442,20,7822.690291
-26.383914,20,7846.66038
-26.780028,20,7871.504587
-28.20372,20,7895.418656
-28.213407,20,7922.281562
-29.613493,20,7949.719702
-27.666672,20,7978.366873
-29.273794,20,8002.6879
-25.055783,20,8028.116486
-27.540723,20,8052.644819
-27.395413,20,8081.295899
-28.560539,20,8112.177191
-25.617523,20,8136.298133
-29.86972,20,8163.505864
-25.955166,20,8187.30558
-25.414755,20,8211.45106
-26.859937,20,8232.473852
-28.038141,20,8255.938436
-26.814983,20,8286.11584
-26.692708,20,8309.84193
-27.499137,20,8337.550139
-27.791435,20,8365.167443
-26.8393,20,8389.974648
-27.426787,20,8418.602208
-27.372884,20,8443.12028
-27.964623,20,8469.271085
-29.442969,20,8496.526361
-26.55885,20,8518.994174
-26.592483,20,8544.67699
-28.550226,20,8570.39982
-28.544466,20,8592.981723
-28.396826,20,8619.292843
-28.704422,20,8644.73759
-28.881852,20,8668.558774
-26.853689,20,8694.87115
-28.065465,20,8716.954185
-28.499231,20,8742.1395
-28.434428,20,8768.847955
-28.840059,20,8796.384646
-26.332255,20,8824.508226
-28.032623,20,8847.510135
-27.49615,20,8874.985634
-29.444936,20,8904.974115
-29.670414,20,8931.494302
-28.12418,20,8955.388559
-28.68135,20,8978.578487
-25.622618,20,9007.955499
-25.981611,20,9031.411608
-28.29301,20,9058.221823
-27.526978,20,9083.696638
-27.181471,20,9106.940334
-29.808609,20,9135.28744
-29.575583,20,9163.371748
-27.979425,20,9187.991735
-27.358141,20,9217.034266
-27.756855,20,9241.262882
-27.035265,20,9270.675309
-26.340079,20,9295.02298
-29.965298,20,9318.460151
-30.214354,20,9342.966195
-27.877887,20,9367.595551
-29.037635,20,9393.642473
-26.123458,20,9421.323164
-29.093777,20,9448.149099
-27.633338,20,9474.136117
-29.056608,20,9502.800508
-27.128166,20,9527.2442
-28.07599,20,9553.265207
-26.646603,20,9578.609097
-27.348391,20,9603.742523
-28.855266,20,9631.670369
-29.661542,20,9653.728437
-27.5703,20,9682.39115
-26.870384,20,9711.578642
-29.68822,20,9737.658521
-28.027442,20,9765.470485
-27.038044,20,9791.777944
-27.504805,20,9824.236117
-27.982481,20,9847.819907
-28.316482,20,9875.466511
-25.661192,20,9901.624831
-27.606719,20,9924.419968
-28.395931,20,9949.665211
-27.176167,20,9975.371746
-26.303413,20,10001.131211
-27.880975,20,10025.77179
-27.225112,20,10052.008648
-27.798243,20,10079.066965
-28.979408,20,10107.999361
-28.887731,20,10133.702962
-28.678597,20,10158.416895
-28.202848,20,10184.853419
-28.706029,20,10208.264127
-27.220578,20,10234.308135
-28.362705,20,10262.474664
-26.282827,20,10288.406219
-27.806356,20,10318.117242
-30.092734,20,10344.708417
-27.52377,20,10366.875494
-27.367918,20,10389.907237
-26.992988,20,10415.472522
-24.600821,20,10443.57936
-29.234162,20,10465.072656
-29.320294,20,10498.184664
-29.871173,20,10525.624616
-29.676924,20,10549.010534
-30.395509,20,10578.43368
-23.548592,20,10602.80607
-29.400645,20,10628.067777
-25.616176,20,10655.312863
-27.382103,20,10678.476157
-28.320437,20,10703.099793
-27.416277,20,10730.401475
-28.878715,20,10753.527492
-28.46822,20,10779.288941
-28.499279,20,10804.815887
-28.394803,20,10837.11142
-26.192765,20,10866.489634
-28.161629,20,10891.757632
-27.444889,20,10913.878227
-29.521391,20,10939.687671
-27.846434,20,10972.292487
-27.120374,20,11001.546964
-28.915824,20,11030.720778
-29.346439,20,11055.853658
-25.754525,20,11077.373159
-28.828012,20,11102.995939
-27.002201,20,11129.154747
-29.331455,20,11156.59528
-27.424062,20,11182.668101
-27.002828,20,11207.98816
-28.375591,20,11233.894947
-29.112395,20,11258.96255
-26.790181,20,11284.855425
-26.861675,20,11309.078666
-29.509676,20,11335.190849
-30.186432,20,11361.513401
-27.086626,20,11384.596807
-27.797451,20,11407.852149
-28.781818,20,11434.677202
-29.11386,20,11459.137887
-27.256339,20,11483.730675
-26.575128,20,11512.600457
-25.711376,20,11535.624162
-28.774453,20,11561.346594
-28.975206,20,11583.187093
-30.45298,20,11610.579498
-27.395205,20,11637.197555
-29.244245,20,11661.06311
-24.509886,20,11687.048993
-29.198177,20,11707.752023
-27.158467,20,11733.382663
-27.68109,20,11757.164508
-26.792546,20,11785.568302
-26.175282,20,11809.337787
-28.121867,20,11832.113472
-27.636531,20,11857.632326
-26.940541,20,11881.771339
-29.801177,20,11908.88519
-26.958673,20,11936.435767
-27.8385,20,11960.420859
-29.134132,20,11988.476427
-27.306069,20,12013.735744
-24.914457,20,12038.595454
-27.151731,20,12062.658044
-29.463414,20,12087.857327
-27.154675,20,12112.137623
-29.219813,20,12137.571346
-30.634955,20,12163.38103
-28.012066,20,12190.8246
-28.629126,20,12216.996906
-30.206301,20,12240.90688
-26.835519,20,12271.573983
-27.588544,20,12297.813401
-28.321011,20,12322.439074
-29.725169,20,12346.171495
-27.370369,20,12370.067144
-28.510357,20,12395.210042
-27.94712,20,12422.46421
-26.893303,20,12451.549466
-28.591797,20,12474.517646
-25.68591,20,12503.065677
-28.100161,20,12528.149779
-26.820611,20,12557.590348
-28.369215,20,12583.046305
-27.675958,20,12609.753927
-29.130289,20,12635.285326
-27.101788,20,12659.904634
-29.019701,20,12683.589253
-27.849256,20,12711.145614
-28.015991,20,12734.113225
-26.879702,20,12756.906635
-27.678323,20,12783.032893
-28.303485,20,12810.770739
-30.180489,20,12838.779909
-26.78876,20,12860.790157
-26.294243,20,12884.480217
-25.556128,20,12911.225885
-28.795641,20,12935.599268
-27.726955,20,12959.320777
-27.034226,20,12983.51416
-26.932257,20,13010.371171
-27.741165,20,13035.292636
-28.795625,20,13059.901372
-29.722717,20,13087.867539
-27.138281,20,13112.57841
-27.861046,20,13136.351266
-29.117933,20,13165.229267
-29.661418,20,13193.394076
-27.227426,20,13220.10389
-26.103748,20,13247.230448
-28.903455,20,13272.74882
-27.881697,20,13298.043354
-27.64476,20,13323.54366
-28.112323,20,13348.737685
-27.374659,20,13373.302843
-28.357746,20,13397.838768
-29.564882,20,13424.044911
-27.205584,20,13453.532303
-24.296639,20,13478.183207
-28.564205,20,13502.787935
-29.221411,20,13528.708251
-29.161456,20,13562.590509
-27.827925,20,13585.525307
-28.432095,20,13611.319448
-28.582155,20,13640.586338
-29.370231,20,13667.433778
-27.455041,20,13688.994915
-28.186574,20,13714.853891
-28.808485,20,13741.479295
-28.066044,20,13768.39045
-26.98953,20,13794.419427
-25.965077,20,13819.759644
-27.981633,20,13845.094347
-27.484668,20,13874.847756
-29.23512,20,13903.557064
-26.735513,20,13928.46567
-27.80353,20,13955.036839
-29.168662,20,13981.396141
-26.998222,20,14005.721416
-29.530565,20,14029.293115
-26.868928,20,14058.508701
-27.205383,20,14084.692383
-27.255596,20,14112.677749
-28.367381,20,14137.465348
-28.934505,20,14164.797592
-28.927531,20,14187.477649
-30.23735,20,14212.933054
-29.470729,20,14239.458269
-30.829205,20,14264.773918
-27.657864,20,14294.773836
-28.460412,20,14317.782442
-27.923359,20,14343.430708
-24.498762,20,14369.055029
-29.432268,20,14399.841898
-29.538016,20,14425.520015
-26.542089,20,14450.010397
-27.879789,20,14475.095495
-25.064457,20,14499.885426
-29.385233,20,14529.968471
-27.088978,20,14553.659301
-27.870605,20,14581.302911
-28.941229,20,14610.077368
-24.439995,20,14636.740443
-29.221585,20,14663.359288
-26.364752,20,14690.097138
-25.55973,20,14711.543186
-27.528016,20,14737.253524
-28.270221,20,14759.014837
-29.755521,20,14783.333277
-28.830568,20,14806.352176
-27.072436,20,14834.897038
-28.496218,20,14858.504152
-28.746902,20,14884.922136
-30.474029,20,14913.860473
-27.713353,20,14940.593309
-27.201117,20,14966.997657
-29.057238,20,14995.462054
-25.919952,20,15020.371643
-28.108556,20,15047.499861
-27.423027,20,15073.165135
-28.920163,20,15100.422154
-26.791096,20,15128.955456
-28.931733,20,15151.140662
-27.229599,20,15174.952519
-27.411484,20,15198.683873
-28.422586,20,15224.647251
-27.764915,20,15248.364695
-27.090027,20,15273.630452
-29.477554,20,15296.05656
-27.8578,20,15320.368489
-28.546565,20,15346.341288
-27.452159,20,15373.333318
-27.798417,20,15400.477712
-26.838478,20,15425.280221
-28.303778,20,15454.445033
-29.683105,20,15477.154403
-26.742297,20,15503.781622
-25.662287,20,15528.639238
-31.597099,20,15555.352139
-27.136725,20,15578.588355
-25.648327,20,15606.096656
-27.095848,20,15630.738615
-29.686229,20,15654.273269
-27.664384,20,15679.047157
-28.958639,20,15701.445608
-28.982314,20,15728.590258
-26.837873,20,15756.021376
-29.28066,20,15779.286536
-29.600876,20,15803.522406
-26.872554,20,15830.753698
-28.240897,20,15855.03951
-29.184268,20,15880.884372
-29.258814,20,15905.171474
-29.095109,20,15927.782868
-29.348972,20,15953.50626
-28.106063,20,15978.368854
-27.805134,20,16003.778975
-26.158964,20,16031.107424
-29.579446,20,16057.112443
-25.615028,20,16082.450303
-27.904547,20,16105.476203
-28.109482,20,16134.636038
-28.054745,20,16159.970652
-28.961877,20,16190.045165
-26.997351,20,16215.14729
-30.724575,20,16246.654343
-27.229066,20,16273.601093
-29.585314,20,16301.071313
-30.080765,20,16328.696296
-27.132072,20,16351.479172
-27.704526,20,16375.281583
-24.785863,20,16399.273735
-27.234177,20,16427.788558
-27.741326,20,16450.754403
-28.574049,20,16480.39376
-27.717234,20,16504.034963
-25.699947,20,16531.501938
-26.66985,20,16556.3513
-28.941507,20,16579.516596
-29.155147,20,16605.490057
-29.314867,20,16631.483059
-27.968054,20,16654.352935
-30.389952,20,16678.116273
-28.480236,20,16705.656686
-27.788333,20,16732.697834
-26.676359,20,16757.955225
-27.97163,20,16783.534189
-26.707478,20,16807.050856
-28.790939,20,16833.819892
-28.759187,20,16860.703661
-29.14195,20,16887.041909
-26.927093,20,16914.941688
-26.104526,20,16941.416079
-28.949238,20,16967.536187
-25.85377,20,16992.769616
-27.472714,20,17014.917519
-27.266622,20,17039.165148
-29.991652,20,17062.526862
-27.972993,20,17087.114189
-27.164871,20,17114.614886
-28.892486,20,17138.418809
-29.416454,20,17162.910816
-28.826256,20,17186.858545
-27.167733,20,17211.607078
-28.320278,20,17235.148498
-26.524447,20,17261.547442
-28.189822,20,17284.089151
-27.399791,20,17313.019098
-28.956283,20,17340.633331
-29.013704,20,17363.973856
-28.210329,20,17390.396893
-27.776592,20,17416.270299
-27.706182,20,17442.678817
-25.71825,20,17467.223904
-29.173988,20,17491.642601
-27.482646,20,17519.208886
-27.048994,20,17544.823333
-29.021598,20,17567.247854
-29.895451,20,17591.370493
-26.075023,20,17618.543171
-26.811134,20,17649.592886
-28.574282,20,17673.989821
-28.987261,20,17698.241208
-27.574738,20,17719.464899
-26.913873,20,17743.633843
-28.180303,20,17770.171821
-28.568078,20,17793.629989
-29.505348,20,17817.812429
-28.760279,20,17842.511971
-27.339055,20,17868.74439
-29.14642,20,17892.948124
-27.817691,20,17920.382279
-27.160311,20,17944.286469
-25.222022,20,17970.4405
-28.832899,20,17994.917098
-28.964486,20,18017.959604
-29.469999,20,18046.708469
-28.37386,20,18073.943209
-27.884941,20,18097.669974
-26.94473,20,18126.19996
-25.804514,20,18157.444228
-29.946553,20,18187.432053
-31.190134,20,18213.092241
-25.849824,20,18235.460941
-27.654982,20,18257.777925
-29.829899,20,18282.150321
-27.381205,20,18307.05218
-29.262684,20,18331.367786
-28.65215,20,18355.94605
-28.096682,20,18381.216482
-30.357159,20,18405.064748
-27.651521,20,18426.433013
-26.713574,20,18452.059735
-28.55069,20,18473.600055
-29.371207,20,18497.994022
-28.050193,20,18526.580544
-26.200056,20,18551.423216
-27.151099,20,18582.421367
-28.877824,20,18606.946659
-26.410346,20,18631.460785
-28.875049,20,18659.629833
-28.851455,20,18684.087753
-29.872994,20,18708.19612
