# {"t_start": 1551429346.285287, "env_id": "parking-v1"} 
r,l,t
-28.272576,20,24.7389
-27.495469,20,47.391965
-27.107966,20,69.937181
-29.031986,20,93.226104
-26.446992,20,118.304276
-29.823869,20,141.773195
-29.445219,20,164.470529
-26.979685,20,186.345829
-29.230027,20,209.531303
-28.715221,20,232.550685
-28.603336,20,257.163901
-25.533091,20,280.065294
-29.685472,20,302.216376
-28.838968,20,322.856153
-28.208629,20,344.802352
-25.390588,20,367.721412
-28.876952,20,390.638429
-27.286344,20,413.122
-26.110395,20,434.474262
-27.372182,20,455.765847
-27.534274,20,479.664622
-28.868645,20,501.861886
-28.187949,20,526.614883
-24.317581,20,549.955225
-26.282224,20,573.368007
-27.627828,20,595.376524
-26.711245,20,620.127582
-28.423235,20,643.671829
-25.794274,20,666.254072
-27.361588,20,688.346456
-25.347267,20,711.69817
-28.389237,20,733.61402
-29.226435,20,756.597123
-26.91667,20,778.089877
-25.688216,20,801.519193
-28.196528,20,825.571574
-27.613339,20,850.309856
-26.611636,20,872.089983
-25.231455,20,895.599494
-29.011853,20,918.076223
-27.696123,20,940.096278
-27.364696,20,962.715858
-28.162234,20,986.689291
-28.987312,20,1009.446777
-27.634834,20,1031.706752
-26.740282,20,1055.467123
-28.950581,20,1078.388008
-29.400668,20,1101.358506
-30.010198,20,1122.395454
-27.217777,20,1143.985456
-27.08677,20,1167.470973
-27.496739,20,1190.645018
-28.509383,20,1212.538239
-28.025001,20,1236.993111
-29.389396,20,1260.181707
-28.477113,20,1283.812379
-26.907161,20,1307.251263
-26.49473,20,1332.065763
-27.0282,20,1353.620095
-30.37135,20,1375.629144
-26.470143,20,1398.707223
-29.078105,20,1421.988895
-28.824517,20,1444.371425
-30.306603,20,1467.746946
-28.809645,20,1491.560716
-27.284939,20,1515.759417
-28.551276,20,1536.913402
-27.707215,20,1559.886686
-28.227373,20,1583.719312
-28.900851,20,1605.847852
-28.454807,20,1627.950103
-26.95835,20,1650.738351
-25.8571,20,1673.020151
-30.23528,20,1695.536531
-25.622601,20,1717.873258
-26.992275,20,1741.96803
-28.263588,20,1763.631777
-29.662817,20,1786.887072
-26.334776,20,1809.499503
-27.676078,20,1831.467194
-27.678626,20,1855.25852
-28.303351,20,1876.242783
-26.270062,20,1900.310868
-27.635062,20,1923.794301
-29.003204,20,1946.376599
-26.050678,20,1969.423287
-28.049379,20,1992.046356
-29.243234,20,2016.278988
-29.01832,20,2041.278681
-28.551605,20,2063.792431
-28.810141,20,2086.70272
-29.882457,20,2108.288478
-28.300117,20,2132.940096
-27.743981,20,2155.2074
-25.655842,20,2178.221884
-28.44827,20,2201.041499
-26.215337,20,2224.809943
-28.634575,20,2248.857968
-26.04145,20,2270.51343
-29.465574,20,2293.774041
-27.751825,20,2316.1003
-25.971703,20,2339.997554
