epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.0033226963,0.061162096,-0.0025343036,0.05508698,10.0,-12.581292,0.0,50.0,0.0
1,-0.0032797714,0.061045002,-0.0024847318,0.054966167,20.0,-15.310049,0.0,100.0,0.0
2,-0.003242185,0.060935657,-0.0024303726,0.054843698,30.0,-14.753473,0.0,150.0,0.0
3,-0.0031829134,0.06082123,-0.0023837974,0.0547252,40.0,-14.879593,0.0,200.0,0.0
4,-0.0031462675,0.06069438,-0.0023487322,0.054601338,50.0,-16.192192,0.0,250.0,0.0
5,-0.0031104444,0.06057027,-0.0023102497,0.05448103,60.0,-18.077173,0.0,300.0,0.0
6,-0.0030615574,0.06044511,-0.002261256,0.05436449,70.0,-18.372822,0.0,350.0,0.0
7,-0.003022816,0.060330097,-0.0022118138,0.054247845,80.0,-19.12299,0.0,400.0,0.0
8,-0.002988172,0.06021375,-0.0021621063,0.05413257,90.0,-19.124096,0.0,450.0,0.0
9,-0.0029635343,0.06010608,-0.002120447,0.05401854,100.0,-18.900896,0.0,500.0,0.0
10,-0.002927185,0.059996396,-0.0020736102,0.0539047,110.0,-18.792654,0.0,550.0,0.0
11,-0.002889163,0.05988598,-0.002034384,0.053791266,120.0,-19.110474,0.0,600.0,0.0
12,-0.002843707,0.059772756,-0.0019970767,0.05367519,130.0,-20.023584,0.0,650.0,0.0
13,-0.0028122906,0.059660118,-0.0019581807,0.05356215,140.0,-19.455256,0.0,700.0,0.0
14,-0.0027782035,0.059546903,-0.0019218266,0.053447273,150.0,-19.48489,0.0,750.0,0.0
15,-0.0027500968,0.059439614,-0.001880333,0.053334832,160.0,-20.087324,0.0,800.0,0.0
16,-0.0027065107,0.059335023,-0.0018414427,0.053226512,170.0,-19.938396,0.0,850.0,0.0
17,-0.002671294,0.05922912,-0.0018012394,0.053118404,180.0,-19.749569,0.0,900.0,0.0
18,-0.0026204756,0.059117254,-0.0017583129,0.053004798,190.0,-19.899618,0.0,950.0,0.0
19,-0.0025832641,0.059009656,-0.0017226683,0.052896883,200.0,-20.013311,0.0,1000.0,0.0
20,-0.0025585608,0.058905978,-0.0016867137,0.052788902,210.0,-20.024328,0.0,1050.0,0.0
21,-0.0025242749,0.058802783,-0.0016506109,0.052682143,220.0,-19.45463,0.0,1100.0,0.0
22,-0.002494832,0.058699578,-0.0016145594,0.052574605,230.0,-19.74979,0.0,1150.0,0.0
23,-0.0024676893,0.05859976,-0.0015889554,0.0524701,240.0,-19.89904,0.0,1200.0,0.0
24,-0.002449558,0.058502197,-0.0015533984,0.05236456,250.0,-19.660534,0.0,1250.0,0.0
25,-0.0024137362,0.05839731,-0.0015193104,0.052261382,260.0,-19.689348,0.0,1300.0,0.0
26,-0.0023941656,0.0582978,-0.0014855497,0.05215742,270.0,-19.894012,0.0,1350.0,0.0
27,-0.002363623,0.058195,-0.0014566508,0.052054226,280.0,-20.112755,0.0,1400.0,0.0
28,-0.0023485504,0.058098953,-0.0014313163,0.051949635,290.0,-19.89904,0.0,1450.0,0.0
29,-0.0023270964,0.058008853,-0.0014042057,0.051852092,300.0,-19.950962,0.0,1500.0,0.0
30,-0.0023039456,0.057908382,-0.0013717149,0.051755454,310.0,-19.935848,0.0,1550.0,0.0
31,-0.0022793843,0.05781944,-0.0013469863,0.05165732,320.0,-19.820042,0.0,1600.0,0.0
32,-0.0022595513,0.057728574,-0.0013103228,0.051561486,330.0,-19.948614,0.0,1650.0,0.0
33,-0.0022185964,0.05764089,-0.0012757381,0.05146402,340.0,-19.978764,0.0,1700.0,0.0
34,-0.0021780883,0.05755054,-0.0012437714,0.05136667,350.0,-19.987621,0.0,1750.0,0.0
35,-0.00215153,0.05746399,-0.0012135464,0.0512694,360.0,-20.016369,0.0,1800.0,0.0
36,-0.0021264197,0.057377297,-0.0011803822,0.051172476,370.0,-20.100323,0.0,1850.0,0.0
37,-0.0021230283,0.057285253,-0.0011612953,0.051074978,380.0,-19.998762,0.0,1900.0,0.0
38,-0.0020834364,0.057191297,-0.0011315785,0.050979987,390.0,-19.986925,0.0,1950.0,0.0
39,-0.0020600965,0.057105515,-0.0011084726,0.050887514,400.0,-19.987736,0.0,2000.0,0.0
40,-0.0020359205,0.057019737,-0.0010780373,0.050797135,410.0,-19.973827,0.0,2050.0,0.0
41,-0.002006059,0.056932826,-0.0010502825,0.050708827,420.0,-19.982971,0.0,2100.0,0.0
42,-0.001979203,0.05684626,-0.0010322946,0.05061878,430.0,-20.054691,0.0,2150.0,0.0
43,-0.001956946,0.05676,-0.0010087551,0.050528,440.0,-19.999737,0.0,2200.0,0.0
44,-0.0019311762,0.056673776,-0.0009945917,0.050437484,450.0,-20.011044,0.0,2250.0,0.0
45,-0.001910693,0.056591358,-0.00096542697,0.05034728,460.0,-19.94638,0.0,2300.0,0.0
46,-0.001878967,0.05650988,-0.0009359058,0.05025885,470.0,-19.991705,0.0,2350.0,0.0
47,-0.0018693587,0.056422945,-0.00091041654,0.050171982,480.0,-19.990925,0.0,2400.0,0.0
48,-0.0018500552,0.05634585,-0.0008835246,0.050082806,490.0,-19.898993,0.0,2450.0,0.0
49,-0.0018240769,0.056260347,-0.00086371537,0.049995173,500.0,-19.914524,0.0,2500.0,0.0
