epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.0037258612,0.06723552,-0.0027729233,0.061893012,10.0,-4.796857,0.3,50.0,0.0
1,-0.0037423528,0.06707237,-0.0027991824,0.061743703,20.0,-4.2514906,0.5,100.0,0.0
2,-0.0037159156,0.06692316,-0.0028082936,0.06156959,30.0,-5.060824,0.4,150.0,0.0
3,-0.003733688,0.066798106,-0.0028114018,0.06144589,40.0,-5.335736,0.3,200.0,0.0
4,-0.0038340492,0.066750266,-0.0028854916,0.061340958,50.0,-5.046377,0.4,250.0,0.0
5,-0.0038107506,0.06658323,-0.00288296,0.061173856,60.0,-3.726563,0.2,300.0,0.04
6,-0.0038845874,0.06649735,-0.0029168886,0.061071947,70.0,-5.39614,0.3,350.0,0.0
7,-0.003997155,0.06641245,-0.0030054434,0.06093621,80.0,-3.8288903,0.2,400.0,0.0
8,-0.0039422875,0.066254444,-0.0029447584,0.060782894,90.0,-5.1705766,0.3,450.0,0.0
9,-0.0038386614,0.066188134,-0.0028731336,0.060704526,100.0,-4.566572,0.1,500.0,0.0
