# {"t_start": 1551460688.3900924, "env_id": "parking-v1"} 
r,l,t
-37.846829,20,20.998687
-35.178945,20,42.171464
-39.375641,20,63.264765
-36.421807,20,83.68606
-29.696066,20,105.192946
-38.230453,20,125.201064
-30.768163,20,145.309382
-30.738282,20,166.344864
-42.595119,20,187.991272
-35.213626,20,208.450767
-37.495374,20,230.540917
-41.616449,20,251.78737
-44.626467,20,273.310616
-31.293861,20,294.801099
-34.140434,20,316.023547
-35.188652,20,336.324728
-40.445483,20,356.83368
-31.053883,20,377.687204
-42.451845,20,398.457723
-41.508627,20,418.72592
-36.159394,20,439.862208
-32.584233,20,459.982298
-40.625508,20,479.980083
-37.256841,20,500.370893
-30.773995,20,522.143308
-36.302968,20,542.812496
-37.042071,20,563.910179
-36.233367,20,585.318572
-43.354745,20,606.504772
-36.805146,20,626.532536
-36.875927,20,647.108852
-37.525196,20,667.508384
-41.644208,20,688.053713
-44.55124,20,709.194678
-34.920932,20,729.281714
-35.834274,20,749.65907
-40.083078,20,770.103526
-33.586273,20,791.405891
-30.955247,20,812.668453
-44.600262,20,832.60334
-37.900007,20,852.920774
-31.832441,20,873.624481
-41.154249,20,894.364721
-42.430046,20,914.438597
-43.40211,20,934.983389
-38.894599,20,955.243009
-41.736992,20,975.615823
-36.614564,20,995.795756
-33.734777,20,1017.018001
-33.802343,20,1037.977669
-29.577738,20,1058.344703
-37.407508,20,1078.810292
-33.08727,20,1099.263572
-37.707639,20,1120.138105
-31.029549,20,1141.216853
-40.084856,20,1161.967226
-37.404068,20,1183.153504
-30.511622,20,1204.732204
-30.751046,20,1225.413354
-37.338292,20,1245.641153
-37.995775,20,1265.79255
-37.455046,20,1286.399709
-37.241842,20,1307.603249
-37.547892,20,1327.890627
-33.088825,20,1348.337133
-34.59823,20,1368.497479
-40.794676,20,1390.095834
