epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.0052044834,0.07010271,-0.003776897,0.0635925,10.0,-16.886326,0.0,50.0,0.0
1,-0.006651586,0.07247784,-0.004719489,0.0649414,20.0,-18.207537,0.0,100.0,0.0
2,-0.008098785,0.07451055,-0.005621347,0.066073135,30.0,-19.006865,0.0,150.0,0.0
3,-0.009554948,0.07652559,-0.0065386575,0.067212336,40.0,-19.559923,0.0,200.0,0.0
4,-0.010921266,0.07816423,-0.007399946,0.0681953,50.0,-19.901836,0.0,250.0,0.0
5,-0.01229127,0.079736054,-0.008216999,0.06904805,60.0,-19.918943,0.0,300.0,0.0
6,-0.013590231,0.081143044,-0.009086179,0.0699834,70.0,-20.002466,0.0,350.0,0.0
7,-0.014782369,0.082331225,-0.009842822,0.07068818,80.0,-19.95861,0.0,400.0,0.0
8,-0.01597399,0.08341148,-0.010605057,0.07136361,90.0,-19.965462,0.0,450.0,0.0
9,-0.017199095,0.08449417,-0.011337644,0.072019026,100.0,-19.955862,0.0,500.0,0.0
10,-0.018372664,0.085468434,-0.012021747,0.072591245,110.0,-19.958172,0.0,550.0,0.0
11,-0.019477399,0.0863739,-0.01268828,0.07311232,120.0,-19.970123,0.0,600.0,0.0
12,-0.020590317,0.0872097,-0.013356001,0.07360169,130.0,-20.008776,0.0,650.0,0.0
13,-0.021609798,0.0879214,-0.013997196,0.07405368,140.0,-19.952297,0.0,700.0,0.0
14,-0.02258045,0.088588,-0.014628966,0.074519105,150.0,-20.003727,0.0,750.0,0.0
15,-0.023595728,0.089288555,-0.01520044,0.07488183,160.0,-19.962717,0.0,800.0,0.0
16,-0.02455076,0.08987782,-0.01578741,0.075252146,170.0,-19.947702,0.0,850.0,0.0
17,-0.025490314,0.09046498,-0.016389951,0.075647965,180.0,-19.928848,0.0,900.0,0.0
18,-0.026406027,0.09101384,-0.017002037,0.076025255,190.0,-20.023731,0.0,950.0,0.0
19,-0.027271403,0.09145096,-0.017513871,0.07628258,200.0,-20.023169,0.0,1000.0,0.0
