epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.0033616459,0.062284555,-0.0025649194,0.05633,10.0,-8.548855,0.0,50.0,0.0
1,-0.0033730697,0.06212212,-0.0025703437,0.05616334,20.0,-9.6966915,0.0,100.0,0.0
2,-0.003383995,0.06199638,-0.0025658733,0.05602828,30.0,-9.994722,0.0,150.0,0.0
3,-0.003399943,0.061884522,-0.0025936817,0.0559092,40.0,-10.860214,0.0,200.0,0.0
4,-0.0034515245,0.061781462,-0.0026330522,0.055784356,50.0,-11.312897,0.0,250.0,0.0
5,-0.0034620126,0.06167488,-0.002659267,0.05566289,60.0,-11.448862,0.0,300.0,0.0
6,-0.003473171,0.06160529,-0.002660672,0.055571944,70.0,-8.248041,0.0,350.0,0.0
7,-0.0034419168,0.06147476,-0.0026398266,0.055432156,80.0,-10.597107,0.0,400.0,0.0
8,-0.0034148348,0.061379287,-0.002626218,0.055318516,90.0,-9.586481,0.0,450.0,0.0
9,-0.0033645413,0.061286464,-0.0025892998,0.05521189,100.0,-10.31602,0.0,500.0,0.0
